tweet_id,favorites,retweets,user_followers,user_favourites,date_time
675147105808306176,942,236,8333987,143197,2015-12-11 02:56:28+00:00
675146535592706048,1195,308,8333987,143197,2015-12-11 02:54:12+00:00
675145476954566656,2139,908,8333987,143197,2015-12-11 02:49:59+00:00
675135153782571009,1300,496,8333987,143197,2015-12-11 02:08:58+00:00
675113801096802304,1952,789,8333987,143197,2015-12-11 00:44:07+00:00
675111688094527488,965,253,8333987,143197,2015-12-11 00:35:44+00:00
675109292475830276,2798,1136,8333987,143197,2015-12-11 00:26:12+00:00
675047298674663426,1060,329,8333987,143197,2015-12-10 20:19:52+00:00
675015141583413248,2714,1190,8333987,143197,2015-12-10 18:12:05+00:00
675006312288268288,989,229,8333987,143197,2015-12-10 17:37:00+00:00
675003128568291329,1562,470,8333987,143197,2015-12-10 17:24:21+00:00
674999807681908736,2251,1103,8333987,143197,2015-12-10 17:11:09+00:00
674805413498527744,860,357,8333987,143197,2015-12-10 04:18:42+00:00
674800520222154752,3024,862,8333987,143197,2015-12-10 03:59:15+00:00
674793399141146624,2515,1085,8333987,143197,2015-12-10 03:30:58+00:00
674790488185167872,1102,250,8333987,143197,2015-12-10 03:19:24+00:00
674788554665512960,819,208,8333987,143197,2015-12-10 03:11:43+00:00
674781762103414784,2005,1204,8333987,143197,2015-12-10 02:44:43+00:00
674774481756377088,1116,475,8333987,143197,2015-12-10 02:15:47+00:00
674767892831932416,1826,793,8333987,143197,2015-12-10 01:49:36+00:00
674764817387900928,786,238,8333987,143197,2015-12-10 01:37:23+00:00
674754018082705410,1364,448,8333987,143197,2015-12-10 00:54:28+00:00
674752233200820224,1458,466,8333987,143197,2015-12-10 00:47:23+00:00
674743008475090944,1402,552,8333987,143197,2015-12-10 00:10:43+00:00
674742531037511680,487,50,8333987,143197,2015-12-10 00:08:50+00:00
674739953134403584,1105,388,8333987,143197,2015-12-09 23:58:35+00:00
674737130913071104,644,93,8333987,143197,2015-12-09 23:47:22+00:00
